image_path,status,error,error_type,traceback,brain_thr,brain_close,brain_open,brain_smooth,brain_scale,brain_area_px,brain_perim_px,brain_accepted,brain_outline_params_json,midline_xy,hemi_area_left_px,hemi_area_right_px,hemi_perim_left_px,hemi_perim_right_px,midline_crop_x0,midline_crop_y0,midline_crop_x1,midline_crop_y1,midline_pad,midline_params_json,hip_left_area_px,hip_left_perim_px,hip_right_area_px,hip_right_perim_px,roi_json,ui_t1,ui_t2,ui_small_to_gray,ui_small_N,ui_grid_on,ui_grid_step,ui_roi_x0,ui_roi_y0,ui_roi_x1,ui_roi_y1,ui_params_json,extra_json
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 006_Y05_1.tif,ok,,,,187,9,7,27,0.3284072249589491,5552037,12904.05833375454,True,"{""accepted"": true, ""thr"": 187, ""close"": 9, ""open"": 7, ""smooth"": 27, ""scale"": 0.3284072249589491, ""area_px"": 5552037, ""perim_px"": 12904.05833375454}",,2798350,2741032,6722.0621745586395,6181.41037273407,307,325,3601,2611,50,"{""midline_pts"": ""[[1973.0, 394.0], [1968.0, 785.0], [1967.0, 1073.0], [1938.0, 1900.0], [1925.0, 2193.0], [1948.808349609375, 2453.535400390625]]"", ""area_left_px"": 2798350, ""area_right_px"": 2741032, ""perimeter_left_px"": 6722.0621745586395, ""perimeter_right_px"": 6181.41037273407, ""crop_x0"": 307, ""crop_y0"": 325, ""crop_x1"": 3601, ""crop_y1"": 2611, ""pad"": 50}",656420,4085.2144145965576,521712,3619.7585709095,"[715, 544, 2980, 1441]",0.4,0.6,True,500,True,200,715,544,2980,1441,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 715, ""y0"": 544, ""x1"": 2980, ""y1"": 1441, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 006_Y05_1__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 006_Y05_1__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 187, ""close"": 9, ""open"": 7, ""smooth"": 27, ""scale"": 0.3284072249589491, ""area_px"": 5552037, ""perim_px"": 12904.05833375454}, ""brain_mask_params"": {""accepted"": true, ""thr"": 191, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19157088122605365, ""area_px"": 6054294, ""perim_px"": 12347.103804707527}, ""midline_params"": {""midline_pts"": ""[[1973.0, 394.0], [1968.0, 785.0], [1967.0, 1073.0], [1938.0, 1900.0], [1925.0, 2193.0], [1948.808349609375, 2453.535400390625]]"", ""area_left_px"": 2798350, ""area_right_px"": 2741032, ""perimeter_left_px"": 6722.0621745586395, ""perimeter_right_px"": 6181.41037273407, ""crop_x0"": 307, ""crop_y0"": 325, ""crop_x1"": 3601, ""crop_y1"": 2611, ""pad"": 50}, ""roi"": [715, 544, 2980, 1441], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 715, ""y0"": 544, ""x1"": 2980, ""y1"": 1441, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 008_Y05_3.tif,ok,,,,170,25,33,15,0.3284072249589491,5649668,12286.252203941345,True,"{""accepted"": true, ""thr"": 170, ""close"": 25, ""open"": 33, ""smooth"": 15, ""scale"": 0.3284072249589491, ""area_px"": 5649668, ""perim_px"": 12286.252203941345}",,2837009,2784847,6414.368742585182,5928.243852138519,279,243,3583,2626,50,"{""midline_pts"": ""[[1873.0, 277.0], [1914.0, 980.0], [1939.0, 1907.0], [1961.0, 2214.0], [1937.0, 2499.0]]"", ""area_left_px"": 2837009, ""area_right_px"": 2784847, ""perimeter_left_px"": 6414.368742585182, ""perimeter_right_px"": 5928.243852138519, ""crop_x0"": 279, ""crop_y0"": 243, ""crop_x1"": 3583, ""crop_y1"": 2626, ""pad"": 50}",835052,5061.145434856415,840132,4791.99110686779,"[853, 605, 2992, 1324]",0.4,0.6,True,500,True,200,853,605,2992,1324,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 853, ""y0"": 605, ""x1"": 2992, ""y1"": 1324, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 008_Y05_3__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 008_Y05_3__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 170, ""close"": 25, ""open"": 33, ""smooth"": 15, ""scale"": 0.3284072249589491, ""area_px"": 5649668, ""perim_px"": 12286.252203941345}, ""brain_mask_params"": {""accepted"": true, ""thr"": 189, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19157088122605365, ""area_px"": 6112037, ""perim_px"": 13154.341392993927}, ""midline_params"": {""midline_pts"": ""[[1873.0, 277.0], [1914.0, 980.0], [1939.0, 1907.0], [1961.0, 2214.0], [1937.0, 2499.0]]"", ""area_left_px"": 2837009, ""area_right_px"": 2784847, ""perimeter_left_px"": 6414.368742585182, ""perimeter_right_px"": 5928.243852138519, ""crop_x0"": 279, ""crop_y0"": 243, ""crop_x1"": 3583, ""crop_y1"": 2626, ""pad"": 50}, ""roi"": [853, 605, 2992, 1324], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 853, ""y0"": 605, ""x1"": 2992, ""y1"": 1324, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 010_Y05_5.tif,ok,,,,170,19,19,15,0.3284072249589491,5761309,12382.352709174156,True,"{""accepted"": true, ""thr"": 170, ""close"": 19, ""open"": 19, ""smooth"": 15, ""scale"": 0.3284072249589491, ""area_px"": 5761309, ""perim_px"": 12382.352709174156}",,2949583,2798254,5922.599190592766,6474.682450890541,331,191,3654,2550,50,"{""midline_pts"": ""[[1996.0, 222.0], [2017.0, 614.0], [2000.0, 2362.0]]"", ""area_left_px"": 2949583, ""area_right_px"": 2798254, ""perimeter_left_px"": 5922.599190592766, ""perimeter_right_px"": 6474.682450890541, ""crop_x0"": 331, ""crop_y0"": 191, ""crop_x1"": 3654, ""crop_y1"": 2550, ""pad"": 50}",974920,5654.449038505554,904184,5258.684538841248,"[909, 406, 3159, 1271]",0.4,0.6,True,500,True,200,909,406,3159,1271,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 909, ""y0"": 406, ""x1"": 3159, ""y1"": 1271, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 010_Y05_5__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 010_Y05_5__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 170, ""close"": 19, ""open"": 19, ""smooth"": 15, ""scale"": 0.3284072249589491, ""area_px"": 5761309, ""perim_px"": 12382.352709174156}, ""brain_mask_params"": {""accepted"": true, ""thr"": 199, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19157088122605365, ""area_px"": 6415361, ""perim_px"": 13839.554596066475}, ""midline_params"": {""midline_pts"": ""[[1996.0, 222.0], [2017.0, 614.0], [2000.0, 2362.0]]"", ""area_left_px"": 2949583, ""area_right_px"": 2798254, ""perimeter_left_px"": 5922.599190592766, ""perimeter_right_px"": 6474.682450890541, ""crop_x0"": 331, ""crop_y0"": 191, ""crop_x1"": 3654, ""crop_y1"": 2550, ""pad"": 50}, ""roi"": [909, 406, 3159, 1271], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 909, ""y0"": 406, ""x1"": 3159, ""y1"": 1271, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 011_Z03_1.tif,ok,,,,170,17,9,21,0.3282275711159737,5497346,11763.281641483307,True,"{""accepted"": true, ""thr"": 170, ""close"": 17, ""open"": 9, ""smooth"": 21, ""scale"": 0.3282275711159737, ""area_px"": 5497346, ""perim_px"": 11763.281641483307}",,2710987,2772951,6021.942336440086,5741.3393050432205,286,225,3533,2588,50,"{""midline_pts"": ""[[1808.0, 258.0], [1853.0, 791.0], [1934.0, 2110.0], [1929.0, 2430.0]]"", ""area_left_px"": 2710987, ""area_right_px"": 2772951, ""perimeter_left_px"": 6021.942336440086, ""perimeter_right_px"": 5741.3393050432205, ""crop_x0"": 286, ""crop_y0"": 225, ""crop_x1"": 3533, ""crop_y1"": 2588, ""pad"": 50}",508664,3626.4204773902893,596252,4081.983966588974,"[951, 662, 2754, 1353]",0.4,0.6,True,900,True,200,951,662,2754,1353,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 951, ""y0"": 662, ""x1"": 2754, ""y1"": 1353, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 011_Z03_1__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 011_Z03_1__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 170, ""close"": 17, ""open"": 9, ""smooth"": 21, ""scale"": 0.3282275711159737, ""area_px"": 5497346, ""perim_px"": 11763.281641483307}, ""brain_mask_params"": {""accepted"": true, ""thr"": 190, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19146608315098468, ""area_px"": 6005071, ""perim_px"": 12098.375882863998}, ""midline_params"": {""midline_pts"": ""[[1808.0, 258.0], [1853.0, 791.0], [1934.0, 2110.0], [1929.0, 2430.0]]"", ""area_left_px"": 2710987, ""area_right_px"": 2772951, ""perimeter_left_px"": 6021.942336440086, ""perimeter_right_px"": 5741.3393050432205, ""crop_x0"": 286, ""crop_y0"": 225, ""crop_x1"": 3533, ""crop_y1"": 2588, ""pad"": 50}, ""roi"": [951, 662, 2754, 1353], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 951, ""y0"": 662, ""x1"": 2754, ""y1"": 1353, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 013_Z03_3.tif,ok,,,,170,19,13,15,0.32858707557502737,5723306,12012.293834090233,True,"{""accepted"": true, ""thr"": 170, ""close"": 19, ""open"": 13, ""smooth"": 15, ""scale"": 0.32858707557502737, ""area_px"": 5723306, ""perim_px"": 12012.293834090233}",,2822564,2887591,6261.380935192108,5750.912898898125,246,249,3566,2629,50,"{""midline_pts"": ""[[1839.0, 255.0], [1872.0, 758.0], [1880.0, 2067.0], [1856.0, 2495.0]]"", ""area_left_px"": 2822564, ""area_right_px"": 2887591, ""perimeter_left_px"": 6261.380935192108, ""perimeter_right_px"": 5750.912898898125, ""crop_x0"": 246, ""crop_y0"": 249, ""crop_x1"": 3566, ""crop_y1"": 2629, ""pad"": 50}",690244,4267.256044745445,797052,4778.434757947922,"[901, 637, 2873, 1266]",0.4,0.6,True,500,True,200,901,637,2873,1266,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 901, ""y0"": 637, ""x1"": 2873, ""y1"": 1266, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 013_Z03_3__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 013_Z03_3__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 170, ""close"": 19, ""open"": 13, ""smooth"": 15, ""scale"": 0.32858707557502737, ""area_px"": 5723306, ""perim_px"": 12012.293834090233}, ""brain_mask_params"": {""accepted"": true, ""thr"": 195, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19167579408543264, ""area_px"": 6247637, ""perim_px"": 12470.459143161774}, ""midline_params"": {""midline_pts"": ""[[1839.0, 255.0], [1872.0, 758.0], [1880.0, 2067.0], [1856.0, 2495.0]]"", ""area_left_px"": 2822564, ""area_right_px"": 2887591, ""perimeter_left_px"": 6261.380935192108, ""perimeter_right_px"": 5750.912898898125, ""crop_x0"": 246, ""crop_y0"": 249, ""crop_x1"": 3566, ""crop_y1"": 2629, ""pad"": 50}, ""roi"": [901, 637, 2873, 1266], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 901, ""y0"": 637, ""x1"": 2873, ""y1"": 1266, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 015_Z03_5.tif,ok,,,,170,21,21,15,0.32849712565015055,5672055,13228.124349117279,True,"{""accepted"": true, ""thr"": 170, ""close"": 21, ""open"": 21, ""smooth"": 15, ""scale"": 0.32849712565015055, ""area_px"": 5672055, ""perim_px"": 13228.124349117279}",,2765886,2887544,6044.368742585182,7282.483528375626,115,225,3567,2606,50,"{""midline_pts"": ""[[1738.0, 266.0], [1769.0, 464.0], [1791.0, 800.0], [1796.0, 1272.0], [1897.18701171875, 2366.87158203125]]"", ""area_left_px"": 2765886, ""area_right_px"": 2887544, ""perimeter_left_px"": 6044.368742585182, ""perimeter_right_px"": 7282.483528375626, ""crop_x0"": 115, ""crop_y0"": 225, ""crop_x1"": 3567, ""crop_y1"": 2606, ""pad"": 50}",856044,5185.998247146606,1063840,6112.657189249992,"[759, 682, 3064, 1287]",0.4,0.6,True,900,True,200,759,682,3064,1287,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 759, ""y0"": 682, ""x1"": 3064, ""y1"": 1287, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 015_Z03_5__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 015_Z03_5__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 170, ""close"": 21, ""open"": 21, ""smooth"": 15, ""scale"": 0.32849712565015055, ""area_px"": 5672055, ""perim_px"": 13228.124349117279}, ""brain_mask_params"": {""accepted"": true, ""thr"": 194, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19162332329592116, ""area_px"": 6214489, ""perim_px"": 14232.306903123856}, ""midline_params"": {""midline_pts"": ""[[1738.0, 266.0], [1769.0, 464.0], [1791.0, 800.0], [1796.0, 1272.0], [1897.18701171875, 2366.87158203125]]"", ""area_left_px"": 2765886, ""area_right_px"": 2887544, ""perimeter_left_px"": 6044.368742585182, ""perimeter_right_px"": 7282.483528375626, ""crop_x0"": 115, ""crop_y0"": 225, ""crop_x1"": 3567, ""crop_y1"": 2606, ""pad"": 50}, ""roi"": [759, 682, 3064, 1287], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 759, ""y0"": 682, ""x1"": 3064, ""y1"": 1287, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 020_X05_1.tif,ok,,,,140,1,1,101,0.3284072249589491,5640101,18939.890060305595,True,"{""accepted"": true, ""thr"": 140, ""close"": 1, ""open"": 1, ""smooth"": 101, ""scale"": 0.3284072249589491, ""area_px"": 5640101, ""perim_px"": 18939.890060305595}",,2841262,2783081,8893.242975711823,9457.125225543976,209,292,3491,2634,50,"{""midline_pts"": ""[[1907.0, 319.0], [1887.0, 825.0], [1836.0, 1924.0], [1803.4300537109375, 2443.629150390625]]"", ""area_left_px"": 2841262, ""area_right_px"": 2783081, ""perimeter_left_px"": 8893.242975711823, ""perimeter_right_px"": 9457.125225543976, ""crop_x0"": 209, ""crop_y0"": 292, ""crop_x1"": 3491, ""crop_y1"": 2634, ""pad"": 50}",561060,3890.268237352371,595052,4006.971773982048,"[1019, 597, 2935, 1384]",0.4,0.6,True,400,True,200,1019,597,2935,1384,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 1019, ""y0"": 597, ""x1"": 2935, ""y1"": 1384, ""small_to_gray"": true, ""small_N"": 400, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 020_X05_1__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 020_X05_1__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 140, ""close"": 1, ""open"": 1, ""smooth"": 101, ""scale"": 0.3284072249589491, ""area_px"": 5640101, ""perim_px"": 18939.890060305595}, ""brain_mask_params"": {""accepted"": true, ""thr"": 126, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19157088122605365, ""area_px"": 6108183, ""perim_px"": 12481.245940089226}, ""midline_params"": {""midline_pts"": ""[[1907.0, 319.0], [1887.0, 825.0], [1836.0, 1924.0], [1803.4300537109375, 2443.629150390625]]"", ""area_left_px"": 2841262, ""area_right_px"": 2783081, ""perimeter_left_px"": 8893.242975711823, ""perimeter_right_px"": 9457.125225543976, ""crop_x0"": 209, ""crop_y0"": 292, ""crop_x1"": 3491, ""crop_y1"": 2634, ""pad"": 50}, ""roi"": [1019, 597, 2935, 1384], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 1019, ""y0"": 597, ""x1"": 2935, ""y1"": 1384, ""small_to_gray"": true, ""small_N"": 400, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 022_X05_3.tif,ok,,,,164,9,5,21,0.3284072249589491,5732741,12940.460354685783,True,"{""accepted"": true, ""thr"": 164, ""close"": 9, ""open"": 5, ""smooth"": 21, ""scale"": 0.3284072249589491, ""area_px"": 5732741, ""perim_px"": 12940.460354685783}",,2887052,2832671,6360.037789344788,6580.422565340996,310,228,3625,2576,50,"{""midline_pts"": ""[[1902.0, 246.0], [1920.0, 543.0], [1943.0, 985.0], [1952.0, 1260.0], [1972.0, 2160.0], [1981.0, 2535.0]]"", ""area_left_px"": 2887052, ""area_right_px"": 2832671, ""perimeter_left_px"": 6360.037789344788, ""perimeter_right_px"": 6580.422565340996, ""crop_x0"": 310, ""crop_y0"": 228, ""crop_x1"": 3625, ""crop_y1"": 2576, ""pad"": 50}",915664,4956.961669325829,941660,5185.932231783867,"[950, 495, 3220, 1320]",0.4,0.6,True,500,True,200,950,495,3220,1320,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 950, ""y0"": 495, ""x1"": 3220, ""y1"": 1320, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 022_X05_3__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 022_X05_3__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 164, ""close"": 9, ""open"": 5, ""smooth"": 21, ""scale"": 0.3284072249589491, ""area_px"": 5732741, ""perim_px"": 12940.460354685783}, ""brain_mask_params"": {""accepted"": true, ""thr"": 167, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.19157088122605365, ""area_px"": 6259419, ""perim_px"": 12589.530210852623}, ""midline_params"": {""midline_pts"": ""[[1902.0, 246.0], [1920.0, 543.0], [1943.0, 985.0], [1952.0, 1260.0], [1972.0, 2160.0], [1981.0, 2535.0]]"", ""area_left_px"": 2887052, ""area_right_px"": 2832671, ""perimeter_left_px"": 6360.037789344788, ""perimeter_right_px"": 6580.422565340996, ""crop_x0"": 310, ""crop_y0"": 228, ""crop_x1"": 3625, ""crop_y1"": 2576, ""pad"": 50}, ""roi"": [950, 495, 3220, 1320], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 950, ""y0"": 495, ""x1"": 3220, ""y1"": 1320, ""small_to_gray"": true, ""small_N"": 500, ""grid_on"": true, ""grid_step"": 200}}"
/Users/kseniialavrova/PycharmProjects/HMT/data/controls/TileScan 024_X05_5.tif,ok,,,,151,9,5,89,0.3287671232876712,5755573,13880.460354685783,True,"{""accepted"": true, ""thr"": 151, ""close"": 9, ""open"": 5, ""smooth"": 89, ""scale"": 0.3287671232876712, ""area_px"": 5755573, ""perim_px"": 13880.460354685783}",,2932266,2811347,7009.363690257072,6871.096664428711,264,285,3618,2671,50,"{""midline_pts"": ""[[2056.0, 306.0], [2000.0, 666.0], [2015.0, 820.0], [1970.0, 1318.0], [1926.0, 2027.0], [1903.0, 2630.0]]"", ""area_left_px"": 2932266, ""area_right_px"": 2811347, ""perimeter_left_px"": 7009.363690257072, ""perimeter_right_px"": 6871.096664428711, ""crop_x0"": 264, ""crop_y0"": 285, ""crop_x1"": 3618, ""crop_y1"": 2671, ""pad"": 50}",1076644,5732.8094292879105,1026668,5719.721116662025,"[819, 608, 3111, 1411]",0.4,0.6,True,900,True,200,819,608,3111,1411,"{""t1"": 0.4, ""t2"": 0.6, ""x0"": 819, ""y0"": 608, ""x1"": 3111, ""y1"": 1411, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}","{""overlay_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 024_X05_5__hippocampus_overlay.png"", ""brain_outline_path"": ""/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 024_X05_5__brain_outline.png"", ""brain_outline_params"": {""accepted"": true, ""thr"": 151, ""close"": 9, ""open"": 5, ""smooth"": 89, ""scale"": 0.3287671232876712, ""area_px"": 5755573, ""perim_px"": 13880.460354685783}, ""brain_mask_params"": {""accepted"": true, ""thr"": 176, ""pad"": 50, ""seed_r"": 40, ""close_r"": 7, ""open_r"": 3, ""max_side"": 700, ""scale"": 0.1917808219178082, ""area_px"": 6315604, ""perim_px"": 12383.446950554848}, ""midline_params"": {""midline_pts"": ""[[2056.0, 306.0], [2000.0, 666.0], [2015.0, 820.0], [1970.0, 1318.0], [1926.0, 2027.0], [1903.0, 2630.0]]"", ""area_left_px"": 2932266, ""area_right_px"": 2811347, ""perimeter_left_px"": 7009.363690257072, ""perimeter_right_px"": 6871.096664428711, ""crop_x0"": 264, ""crop_y0"": 285, ""crop_x1"": 3618, ""crop_y1"": 2671, ""pad"": 50}, ""roi"": [819, 608, 3111, 1411], ""params"": {""t1"": 0.4, ""t2"": 0.6, ""x0"": 819, ""y0"": 608, ""x1"": 3111, ""y1"": 1411, ""small_to_gray"": true, ""small_N"": 900, ""grid_on"": true, ""grid_step"": 200}}"
