image_path,overlay_path,img_name,accepted,contour_version,brain_area_px,brain_perim_px,midline_area_left_px,midline_area_right_px,midline_perimeter_left_px,midline_perimeter_right_px,non_complete_contour,hipp_area_left_px,hipp_area_right_px,hipp_perimeter_left_px,hipp_perimeter_right_px
,/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 001_X12_1__hippocampus_overlay.png,TileScan 001_X12_1.tif,ok,single,21098404,31081.756276726723,10815264,10227272,15635.694437265396,16419.188946723938,False,649600,518600,4090.670258283615,3474.9890189170837
,/Users/kseniialavrova/PycharmProjects/HMT/data/output/I04_2_TileScan_001_Merging_Crop_ch00__hippocampus_overlay.png,I04_2_TileScan_001_Merging_Crop_ch00.tif,ok,single,22401896,24440.186188578606,10980775,11354510,11922.960696474518,11823.037116907855,False,737340,776060,4298.552508115768,4775.99110686779
,/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 001_K10_1__hippocampus_overlay.png,TileScan 001_K10_1.tif,ok,single,19980488,23586.879620552063,9928532,9999650,12507.166973111687,11097.847767016265,False,521104,465944,3675.1900293827057,3515.474300146103
,/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 002_K10_2__hippocampus_overlay.png,TileScan 002_K10_2.tif,ok,single,20434668,25115.913233995438,10135436,10254468,11529.080631017685,13046.025055408478,False,646772,605344,4286.954529047012,4183.925091505051
/Users/kseniialavrova/Documents/projects/HISTOLOGY/input/TB_P28/Males/N04/N04_2_TileScan_001_Merging_Crop_ch00.tif,/Users/kseniialavrova/PycharmProjects/HMT/data/output/N04_2_TileScan_001_Merging_Crop_ch00__hippocampus_overlay.png,N04_2_TileScan_001_Merging_Crop_ch00.tif,ok,single,24376836,26378.041088819504,12156522,12177310,12942.004080964905,12693.0073369156,False,896836,820468,4745.630716085434,4623.020544409752
