overlay_path,img_name,accepted,contour_version,brain_area_px,brain_perim_px,midline_area_left_px,midline_area_right_px,midline_perimeter_left_px,midline_perimeter_right_px,non_complete_contour,hipp_area_left_px,hipp_area_right_px,hipp_perimeter_left_px,hipp_perimeter_right_px
/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 001_X12_1__hippocampus_overlay.png,TileScan 001_X12_1.tif,ok,single,21302776,23641.056245803833,10897496,10354372,11311.031860589981,11623.080631017685,False,586596,464548,4065.983966588974,3525.8174459934235
/Users/kseniialavrova/PycharmProjects/HMT/data/output/TileScan 012_K13_2__hippocampus_overlay.png,TileScan 012_K13_2.tif,ok,single,20594432,23834.6096303463,10267499,10273494,11285.368545946298,12683.651300116182,False,654288,671032,4257.197169661522,4101.113909363747
